offer_id,price,old_price,currency,availability
НФ-00006177,198.11,,UAH,true
НФ-00005103,264.15,,UAH,true
НФ-00001100,31.78,,UAH,true
НФ-00000875,330.19,,UAH,true
НФ-00001174,132.08,,UAH,true
НФ-00001140,66.04,,UAH,true
НФ-00001164,19.94,,UAH,true
НФ-00005194,99.06,,UAH,true
НФ-00001128,44.24,,UAH,true
НФ-00006265,46.1,,UAH,true
НФ-00001170,62.93,,UAH,true
НФ-00007986,990.57,,UAH,true
НФ-00001232,957.56,,UAH,true
НФ-00001212,363.22,,UAH,true
НФ-00001208,528.3,,UAH,true
НФ-00003596,9377.4,,UAH,true
НФ-00001744,66.04,,UAH,true
НФ-00001241,39.87,,UAH,true
НФ-00005131,79.13,,UAH,true
НФ-00001235,22.43,,UAH,true
НФ-00003594,5745.31,,UAH,true
НФ-00007834,5775.21,,UAH,true
НФ-00007990,79.13,,UAH,true
НФ-00007870,3301.9,,UAH,true
НФ-00001585,495.29,,UAH,true
НФ-00007185,119,,UAH,true
НФ-00005181,1650.95,,UAH,true
НФ-00003463,132.08,,UAH,true
НФ-00003026,271.01,,UAH,true
НФ-00007349,5943.42,,UAH,true
НФ-00006767,660.38,,UAH,true
НФ-00003528,231.14,,UAH,true
НФ-00004558,237.99,,UAH,true
НФ-00006081,1122.65,,UAH,true
НФ-00005362,264.15,,UAH,true
НФ-00006766,1783.03,,UAH,true
НФ-00005183,429.25,,UAH,true
НФ-00006771,792.46,,UAH,true
НФ-00005182,495.29,,UAH,true
НФ-00006769,726.42,,UAH,true
НФ-00006770,627.37,,UAH,true
НФ-00006768,924.53,,UAH,true
НФ-00007548,1254.72,,UAH,true
НФ-00007869,4622.66,,UAH,true
НФ-00006978,46.1,,UAH,true
НФ-00001479,3169.82,,UAH,true
НФ-00002114,760.69,,UAH,true
НФ-00003036,726.42,,UAH,true
НФ-00001502,1069.7,,UAH,true
НФ-00006400,1386.8,,UAH,true
НФ-00001490,125.23,,UAH,true
НФ-00000552,594.34,,UAH,true
НФ-00001469,2641.52,,UAH,true
НФ-00001467,224.28,,UAH,true
НФ-00001463,1518.87,,UAH,true
НФ-00001471,198.11,,UAH,true
НФ-00001455,125.23,,UAH,true
НФ-00001468,125.23,,UAH,true
НФ-00007580,92.2,,UAH,true
НФ-00007574,1584.91,,UAH,true
НФ-00004959,145.17,,UAH,true
НФ-00004958,49.84,,UAH,true
НФ-00006189,152.01,,UAH,true
НФ-00001500,1135.74,,UAH,true
НФ-00007363,224.28,,UAH,true
НФ-00006190,152.01,,UAH,true
НФ-00001618,1584.91,,UAH,true
НФ-00001513,79.13,,UAH,true
НФ-00001512,4226.43,,UAH,true
НФ-00004935,99.06,,UAH,true
НФ-00001516,92.2,,UAH,true
НФ-00003474,396.23,,UAH,true
НФ-00005307,1386.8,,UAH,true
НФ-00006165,396.23,,UAH,true
НФ-00008047,52.96,,UAH,true
НФ-00004126,11.84,,UAH,true
НФ-00003475,429.25,,UAH,true
НФ-00006230,158.24,,UAH,true
НФ-00001119,52.96,,UAH,true
НФ-00004586,990.57,,UAH,true
НФ-00003051,528.3,,UAH,true
НФ-00000656,528.3,,UAH,true
НФ-00001533,244.22,,UAH,true
НФ-00003055,462.27,,UAH,true
НФ-00007256,403.09,,UAH,true
НФ-00007409,33.03,,UAH,true
НФ-00007697,85.97,,UAH,true
НФ-00007929,713.34,,UAH,true
НФ-00007404,39.87,,UAH,true
НФ-00005369,105.91,,UAH,true
НФ-00005175,99.06,,UAH,true
НФ-00005130,204.97,,UAH,true
НФ-00002137,79.13,,UAH,true
НФ-00005315,297.18,,UAH,true
НФ-00001544,1584.91,,UAH,true
НФ-00006004,66.04,,UAH,true
НФ-00006363,132.08,,UAH,true
НФ-00005341,85.97,,UAH,true
НФ-00007704,79.13,,UAH,true
НФ-00005340,85.97,,UAH,true
НФ-00001052,105.91,,UAH,true
НФ-00001171,211.2,,UAH,true
НФ-00005303,99.06,,UAH,true
НФ-00006262,36.13,,UAH,true
НФ-00001189,72.9,,UAH,true
НФ-00005256,23.06,,UAH,true
НФ-00000130,138.94,,UAH,true
НФ-00003095,138.94,,UAH,true
НФ-00007988,277.24,,UAH,true
НФ-00000561,297.18,,UAH,true
НФ-00006310,363.22,,UAH,true
НФ-00006774,125.23,,UAH,true
НФ-00001068,198.11,,UAH,true
НФ-00003098,122.11,,UAH,true
НФ-00001106,495.29,,UAH,true
НФ-00001104,290.32,,UAH,true
НФ-00001041,343.28,,UAH,true
НФ-00005978,1188.68,,UAH,true
НФ-00005177,277.24,,UAH,true
НФ-00007397,264.15,,UAH,true
НФ-00006311,429.25,,UAH,true
НФ-00000560,297.18,,UAH,true
НФ-00006360,158.24,,UAH,true
НФ-00003100,122.11,,UAH,true
НФ-00004310,165.1,,UAH,true
НФ-00004296,29.9,,UAH,true
НФ-00006048,62.93,,UAH,true
НФ-00004316,92.2,,UAH,true
НФ-00008029,49.84,,UAH,true
НФ-00004306,66.04,,UAH,true
НФ-00004294,18.69,,UAH,true
НФ-00004289,13.09,,UAH,true
НФ-00004305,726.42,,UAH,true
НФ-00007426,396.23,,UAH,true
НФ-00004303,251.08,,UAH,true
